x,y,interannual_variability,water_stress,pop_density_log,population_density_km2,cropland_percent,irrigated_percent,landcover_diversity,grazing_intensity_log,livestock_density_km2,soc_0_30cm_kg_m2,soc_0_30cm_t_ha,governance_perc_rank,road_density_log,shdi_2022,mean_annual_precipitation,aridity_index
12.75,44.25,NA,NA,7.38799964267194,1615.46936035156,53.8809359073639,0,0.380490571260452,NA,NA,4.61145734786987,46.1145734786987,NA,NA,NA,740,NA
13.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.75,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.25,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.75,44.25,NA,NA,2.69301179584508,13.7761116027832,24.9067857861519,0,0.586341500282288,NA,NA,6.41099643707275,64.1099643707275,NA,6.55855485965497,NA,870.5,0.816461205482483
15.25,44.25,1.73797047138214,0,4.57896423519908,96.413444519043,44.3491280078888,0.319201988168061,0.763747930526733,3.51332253973821,32.5595858097076,6.79306125640869,67.9306125640869,66.739990234375,6.63669951965698,0.860000014305115,978,0.96344518661499
15.75,44.25,1.73797047138214,0,2.57477664876918,12.1283845901489,22.0030874013901,0.0913644791580737,0.588679730892181,3.4999508893974,32.1138256788254,7.78149747848511,77.8149747848511,66.739990234375,5.97291402866265,0.860000014305115,1075.77783203125,1.01954185962677
16.25,44.25,1.62449729442596,0,2.73279224846612,14.3757600784302,9.3313992023468,0,0.458425730466843,3.02612065509959,19.6170964241028,8.52201843261719,85.2201843261719,33.6770133972168,5.27423929020449,0.801999986171722,1128.77783203125,1.11184787750244
16.75,44.25,1.92926716804504,0.791552305221558,2.31010205020401,9.07545280456543,6.81481510400772,0,0.486435890197754,3.33253721691027,27.0093173384666,8.73954105377197,87.3954105377197,33.6770133972168,4.47704303964115,0.801999986171722,1143.77783203125,1.18382084369659
17.25,44.25,1.73837006092072,0,3.66968608103456,38.2395858764648,11.8243344128132,0,0.461796700954437,3.6410405138308,37.1314924359322,7.61091947555542,76.1091947555542,33.6770133972168,4.76587340405321,0.781000018119812,1019.55554199219,1.080406665802
17.75,44.25,1.80242609977722,0.77618807554245,4.71558271515596,110.673866271973,13.4320989251137,0,0.43275585770607,3.50096398793379,32.1473902463913,7.14479207992554,71.4479207992554,33.6770133972168,4.7744586991945,0.781000018119812,984.333312988281,1.0088654756546
18.25,44.25,1.80242609977722,0.77618807554245,4.4108390888644,81.3385238647461,8.75648632645607,0,0.355844497680664,3.40969807507605,29.2561078071594,6.33612298965454,63.3612298965454,33.6770133972168,5.23121281181986,0.781000018119812,975.777770996094,0.978562951087952
18.75,44.25,1.65072214603424,0,4.21099271749164,66.4234390258789,6.92560225725174,0,0.391083568334579,3.59662407846647,35.4748899936676,6.20468330383301,62.0468330383301,33.6770133972168,5.29844560844676,0.772000014781952,987,0.997628509998322
19.25,44.25,1.65072214603424,0,3.95127584955373,51.0016708374023,3.57975922524929,0,0.332530826330185,3.88568178731973,47.7001342773438,5.77659034729004,57.7659034729004,33.6770133972168,4.87290786618219,0.776000022888184,933.888916015625,0.921323716640472
19.75,44.25,1.12512421607971,0,4.01664321111341,54.5144424438477,7.72153064608574,0,0.47067192196846,4.35100953065481,76.5567193031311,5.77865648269653,57.7865648269653,47.8784675598145,5.73163241344517,0.794000029563904,860.888916015625,0.827976047992706
20.25,44.25,1.12512421607971,0,4.23867369580209,68.3158569335938,17.5782099366188,0,0.5522500872612,4.16180657848112,63.1873774528503,5.12030649185181,51.2030649185181,47.8784675598145,5.92866523532488,0.794000029563904,759.888916015625,0.711100518703461
20.75,44.25,1.88673579692841,5,4.89580786253204,132.727996826172,52.9264688491821,0,0.500857532024384,4.07479047066586,57.8381509780884,4.75499868392944,47.5499868392944,47.8784675598145,5.72374705140935,0.794000029563904,699.111083984375,0.640622913837433
21.25,44.25,1.47105967998505,2.00059485435486,4.20770101723135,66.2018661499023,59.4635486602783,0,0.475988537073135,3.57742939706127,34.7814426422119,4.28799486160278,42.8799486160278,47.8784675598145,4.97396143261741,0.796000003814697,661.333312988281,0.613945782184601
21.75,44.25,1.13152348995209,0,2.88335314947802,16.8741073608398,6.82646557688713,0,0.344725459814072,3.01982960459584,19.487800359726,5.38735961914062,53.8735961914062,47.8784675598145,4.66726976501647,0.796000003814697,714.111083984375,0.705313920974731
22.25,44.25,2.25377774238586,3.45357728004456,3.37973469345015,28.362979888916,19.1227301955223,0,0.531090617179871,2.72897027476159,14.3171064853668,4.79351949691772,47.9351949691772,47.8784675598145,5.88808249427942,0.796000003814697,655.555541992188,0.638971388339996
22.75,44.25,1.12578392028809,0,3.8202246876998,44.6144561767578,79.6203076839447,0,0.373551934957504,3.35715236587472,27.7073264122009,3.95300459861755,39.5300459861755,39.2473106384277,6.44534191130577,0.805999994277954,599.222229003906,0.550563752651215
23.25,44.25,1.12578392028809,0,3.68516716590174,38.8517837524414,90.4837489128113,0,0.211942851543427,3.68670870661039,38.9132642745972,3.87752318382263,38.7752318382263,39.2473106384277,5.51306468395038,0.805999994277954,604,0.547029972076416
23.75,44.25,1.68246400356293,2.32012033462524,5.08714101104769,160.926254272461,80.7328939437866,0.170368305407465,0.390248000621796,3.73939830416658,41.0726675987244,3.85747766494751,38.5747766494751,39.2473106384277,5.76183600913198,0.805999994277954,584.222229003906,0.537031531333923
24.25,44.25,1.93458795547485,2.29386448860168,4.61781278509019,100.272285461426,83.6775243282318,0.119809561874717,0.319460451602936,3.7034693387137,39.5878734588623,3.77689027786255,37.7689027786255,39.2473106384277,5.57080791636798,0.805999994277954,570.222229003906,0.520574808120728
24.75,44.25,1.12068545818329,0,4.01386366176794,54.3603515625,88.9793395996094,0.972502678632736,0.254382282495499,3.5673391787253,34.422215461731,3.99115228652954,39.9115228652954,39.2473106384277,5.30622297017731,0.805999994277954,544.444458007812,0.494511604309082
25.25,44.25,1.12068545818329,0,3.98840149980097,52.9685516357422,83.7490677833557,0,0.308796972036362,3.65256406993002,37.5734443664551,4.01458215713501,40.1458215713501,39.2473106384277,5.2403355098112,0.785000026226044,537.888916015625,0.488115817308426
